title,score,concept,ShownAT,ImageURL
['Beheading of St John the Baptist'],12.207652,"['<paintings by form>', 'Bible stories', 'Early Baroque', 'oil paint (paint)', 'canvas (textile material)']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.stjohnscocathedral.com%2Fcaravaggio%2Fthe-beheading-of-saint-john-the-baptist.html&provider=Europeana+280&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2063617%2FMAL_280_001&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.dropbox.com%2Fs%2Fwfmzc6rhk1pmes8%2FMALTA_01%2520Caravaggio%2520-%2520St%2520John.jpg%3Fraw%3D1&type=IMAGE']
['St Jerome '],12.153558,"['<paintings by form>', 'Bible stories', 'fine arts (discipline)', 'Early Baroque', 'oil paint (paint)', 'canvas (textile material)']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.stjohnscocathedral.com%2Fcaravaggio%2Fsaint-jerome-writing.html&provider=Europeana+280&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2063617%2FMAL_280_002&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.dropbox.com%2Fs%2Fsy3fnoph5jdk4r8%2FMALTA_02%2520Caravggio%2520-%2520StJerome.tif%3Fraw%3D1&type=IMAGE']
['Trișorii (în registrul inventar: Jucătorii de cărți)'],11.521656,['Painting'],['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fclasate.cimec.ro%2Fdetaliu.asp%3Fk%3DB46471D7D2FD42F9B4325D0082A2CC43&provider=AthenaPlus&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2048047%2FAthena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_B46471D7D2FD42F9B4325D0082A2CC43&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fclasate.cimec.ro%2Fmedium%2FARP_6966500_1131-1.jpg&type=IMAGE']
['Verleugnung Petri'],11.463639,"['panel paintings (paintings by form)', 'paintings (visual works)']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.bildindex.de%2Fdokumente%2Fhtml%2Fobj20091747&provider=Museu&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2064137%2FMuseu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj20091747&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffm1212971&type=IMAGE']
['Resurrezione di Lazaro'],11.463639,"['panel paintings (paintings by form)', 'oil paint (paint)', 'paintings (visual works)']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.bildindex.de%2Fdokumente%2Fhtml%2Fobj99156658&provider=Museu&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2064137%2FMuseu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj99156658&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffm657861&type=IMAGE']
"['Leichnam Christi, betrauert']",11.463639,"['panel paintings (paintings by form)', 'paintings (visual works)']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.bildindex.de%2Fdokumente%2Fhtml%2Fobj00020576&provider=Museu&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2064137%2FMuseu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj00020576&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Fmi03952d05&type=IMAGE']
['Grablegung Christi'],11.463639,"['panel paintings (paintings by form)', 'paintings (visual works)']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.bildindex.de%2Fdokumente%2Fhtml%2Fobj20222694&provider=Museu&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2064137%2FMuseu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj20222694&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffm652069&type=IMAGE']
['Die Anbetung der Hirten mit den Heiligen Franziskus und Lorenz'],11.463639,"['panel paintings (paintings by form)', 'adoration of the Christ-child by the shepherds, without Joseph and Mary', 'paintings (visual works)']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.bildindex.de%2Fdokumente%2Fhtml%2Fobj00157315&provider=Museu&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2064137%2FMuseu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj00157315&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffm1212959&type=IMAGE']
['Die Kreuzigung Petri'],11.463639,"['panel paintings (paintings by form)', 'oil paint (paint)', 'paintings (visual works)']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.bildindex.de%2Fdokumente%2Fhtml%2Fobj99158529&provider=Museu&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2064137%2FMuseu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj99158529&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffm657833&type=IMAGE']
['Geißelung Christi'],11.463639,"['panel paintings (paintings by form)', 'paintings (visual works)', 'flagellation by soldiers, Christ usually tied to a column (Matthew 27:26; Mark 15:15; John 19:1)', 'canvas (textile material)']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.bildindex.de%2Fdokumente%2Fhtml%2Fobj20183097&provider=Museu&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2064137%2FMuseu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj20183097&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffm657850&type=IMAGE']
